date	price	vol_1	vol_2
2013-01-21	111.71	74581	46018
2013-01-22	112.42	207850	115936
2013-01-23	112.8	239710	132585
2013-01-24	113.28	211582	111998
2013-01-25	113.28	204354	132527
2013-01-28	113.48	172156	94269
2013-01-29	114.36	208914	118678
2013-01-30	114.9	200605	113805
2013-01-31	115.55	195486	102875
2013-02-01	116.76	245847	149660
2013-02-04	115.6	214963	146997
2013-02-05	116.52	227098	170078
2013-02-06	116.73	207777	160560
2013-02-07	117.24	242302	197615
2013-02-08	118.9	206475	187768
2013-02-11	118.13	141275	172561
2013-02-12	118.66	98003	208236
2013-02-13	118.72	27822	224610
2013-02-14	118	186862	106074
2013-02-15	117.66	216482	73906
2013-02-18	117.38	60363	24600
2013-02-19	117.52	134903	59267
2013-02-20	115.6	219241	75863
2013-02-21	113.53	248788	101588
2013-02-22	114.1	173497	62427
2013-02-25	114.44	190535	73898
2013-02-26	112.71	257230	103122
2013-02-27	111.87	220008	79738
2013-02-28	111.38	224447	126723
2013-03-01	110.4	251904	139023
2013-03-04	110.09	226779	160276
2013-03-05	111.61	233647	142661
2013-03-06	111.06	201766	147612
2013-03-07	111.15	213074	177974
2013-03-08	110.85	228947	233934
2013-03-11	110.22	164821	184980
2013-03-12	109.65	146001	199515
2013-03-13	108.52	106228	284032
2013-03-14	109.42	18266	232446
2013-03-15	109.82	186110	116615
2013-03-18	109.51	180934	98333
2013-03-19	107.45	226677	137486
2013-03-20	108.72	169060	94074
2013-03-21	107.47	190904	116536
2013-03-22	107.66	174361	121068
2013-03-25	108.17	199228	119924
2013-03-26	109.36	207409	165339
2013-03-27	109.69	217522	169997
2013-03-28	110.02	164972	116610
2013-04-01	111.08	102143	55544
2013-04-02	110.69	205635	152411
2013-04-03	107.11	304648	277458
2013-04-04	106.34	284409	211056
2013-04-05	104.12	273972	256806
2013-04-08	104.66	245683	247712
2013-04-09	106.23	173294	206182
2013-04-10	105.79	136064	168949
2013-04-11	104.27	116868	218736
2013-04-12	103.11	121488	341398
2013-04-15	100.39	23654	303352
2013-04-16	99.91	328741	146466
2013-04-17	97.69	292116	117863
2013-04-18	99.13	306939	138469
2013-04-19	99.65	175359	78000
2013-04-22	100.39	210037	91045
2013-04-23	100.31	242743	105225
2013-04-24	101.73	204010	92223
2013-04-25	103.41	280396	161597
2013-04-26	103.16	196481	85663
2013-04-29	103.81	200113	98894
2013-04-30	102.37	253918	147457
2013-05-01	99.95	267096	134730
2013-05-02	102.85	287671	162099
2013-05-03	104.19	257172	150411
2013-05-06	105.46	135080	66582
2013-05-07	104.4	264561	189151
2013-05-08	104.34	229321	203828
2013-05-09	104.47	197071	175646
2013-05-10	103.91	215453	192383
2013-05-13	102.82	173550	179331
2013-05-14	102.6	160028	225552
2013-05-15	103.68	106542	321412
2013-05-16	103.8	26354	257704
2013-05-17	104.64	193728	93400
2013-05-20	104.8	164956	70141
2013-05-21	103.91	179064	67425
2013-05-22	102.6	207418	75612
